Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,726.669983,755.909973,702.349976,702.799988,702.799988,0
2010-02-01,702.780029,742.570007,681.909973,738.359985,738.359985,0
2010-03-01,738.349976,800.729980,738.349976,789.900024,789.900024,0
2010-04-01,789.869995,852.900024,789.869995,823.059998,823.059998,0
2010-05-01,822.940002,836.460022,714.719971,762.760010,762.760010,0
2010-06-01,762.750000,785.020020,710.710022,711.729980,711.729980,0
2010-07-01,711.729980,782.979980,692.750000,760.270020,760.270020,0
2010-08-01,760.250000,780.109985,709.200012,721.640015,721.640015,0
2010-09-01,721.570007,811.700012,721.570007,802.099976,802.099976,0
2010-10-01,802.099976,836.770020,791.000000,829.130005,829.130005,0
2010-11-01,829.130005,864.020020,823.479980,852.590027,852.590027,0
2010-12-01,852.590027,916.179993,852.539978,907.250000,907.250000,0
2011-01-01,907.250000,939.559998,900.840027,924.770020,924.770020,0
2011-02-01,924.770020,983.840027,924.770020,966.590027,966.590027,0
2011-03-01,966.590027,989.619995,921.659973,989.049988,989.049988,0
2011-04-01,989.049988,1016.520020,958.539978,1015.260010,1015.260010,0
2011-05-01,1015.260010,1018.650024,964.760010,1000.250000,1000.250000,0
2011-06-01,1000.250000,1000.460022,922.539978,978.640015,978.640015,0
2011-07-01,978.640015,1013.340027,928.450012,943.419983,943.419983,0
2011-08-01,943.419983,954.349976,770.580017,875.000000,875.000000,0
2011-09-01,875.000000,883.809998,773.960022,781.260010,781.260010,0
2011-10-01,781.260010,920.239990,731.619995,887.929993,887.929993,0
2011-11-01,887.929993,907.960022,812.429993,883.789978,883.789978,0
2011-12-01,883.750000,901.469971,838.289978,879.159973,879.159973,0
2012-01-01,879.710022,949.599976,872.770020,936.510010,936.510010,0
2012-02-01,936.729980,989.979980,936.729980,977.359985,977.359985,0
2012-03-01,977.549988,1008.679993,952.429993,994.299988,994.299988,0
2012-04-01,994.250000,1004.929993,947.700012,991.309998,991.309998,0
2012-05-01,991.309998,1006.140015,903.630005,925.630005,925.630005,0
2012-06-01,924.640015,942.119995,882.010010,941.640015,941.640015,0
2012-07-01,941.640015,962.000000,909.429993,940.479980,940.479980,0
2012-08-01,940.489990,983.520020,919.830017,971.549988,971.549988,0
2012-09-01,971.549988,1030.000000,965.349976,989.020020,989.020020,0
2012-10-01,989.109985,1004.859985,967.390015,980.450012,980.450012,0
2012-11-01,980.429993,1005.619995,940.919983,1000.150024,1000.150024,0
2012-12-01,1000.200012,1030.170044,991.919983,1020.429993,1020.429993,0
2013-01-01,1020.429993,1097.420044,1020.429993,1093.959961,1093.959961,0
2013-02-01,1093.400024,1123.739990,1078.650024,1102.640015,1102.640015,0
2013-03-01,1102.640015,1154.660034,1085.989990,1153.680054,1153.680054,0
2013-04-01,1153.670044,1160.020020,1101.030029,1160.020020,1160.020020,0
2013-05-01,1159.920044,1223.369995,1138.489990,1184.319946,1184.319946,0
2013-06-01,1185.390015,1190.469971,1114.040039,1160.819946,1160.819946,0
2013-07-01,1163.339966,1243.040039,1163.339966,1231.900024,1231.900024,0
2013-08-01,1237.069946,1261.180054,1181.949951,1183.869995,1183.869995,0
2013-09-01,1188.770020,1260.780029,1170.619995,1243.849976,1243.849976,0
2013-10-01,1244.609985,1302.410034,1216.780029,1289.180054,1289.180054,0
2013-11-01,1290.699951,1314.000000,1267.619995,1304.180054,1304.180054,0
2013-12-01,1304.099976,1344.079956,1281.680054,1342.530029,1342.530029,0
2014-01-01,1339.989990,1359.989990,1295.030029,1313.079956,1313.079956,0
2014-02-01,1312.630005,1382.569946,1264.569946,1375.329956,1375.329956,0
2014-03-01,1372.750000,1393.599976,1346.489990,1378.500000,1378.500000,0
2014-04-01,1379.540039,1398.910034,1311.160034,1355.959961,1355.959961,0
2014-05-01,1357.089966,1382.150024,1331.239990,1377.979980,1377.979980,0
2014-06-01,1378.900024,1433.160034,1370.420044,1432.939941,1432.939941,0
2014-07-01,1435.219971,1452.010010,1370.630005,1370.699951,1370.699951,0
2014-08-01,1369.329956,1438.619995,1356.229980,1438.170044,1438.170044,0
2014-09-01,1438.599976,1447.729980,1370.890015,1370.969971,1370.969971,0
2014-10-01,1370.439941,1419.400024,1269.449951,1418.709961,1418.709961,0
2014-11-01,1419.280029,1458.790039,1409.680054,1442.630005,1442.630005,0
2014-12-01,1440.930054,1478.219971,1383.520020,1452.439941,1452.439941,0
2015-01-01,1457.280029,1472.050049,1405.760010,1435.099976,1435.099976,0
2015-02-01,1436.729980,1519.869995,1420.140015,1506.530029,1506.530029,0
2015-03-01,1506.579956,1542.160034,1471.319946,1524.030029,1524.030029,0
2015-04-01,1522.209961,1543.479980,1496.479980,1500.189941,1500.189941,0
2015-05-01,1503.579956,1545.790039,1492.239990,1524.670044,1524.670044,0
2015-06-01,1528.709961,1551.280029,1499.089966,1502.170044,1502.170044,0
2015-07-01,1509.329956,1524.729980,1461.760010,1502.890015,1502.890015,0
2015-08-01,1503.310059,1514.489990,1351.160034,1416.750000,1416.750000,0
2015-09-01,1404.949951,1454.770020,1344.800049,1368.910034,1368.910034,0
2015-10-01,1369.319946,1453.569946,1347.140015,1444.770020,1444.770020,0
2015-11-01,1446.130005,1473.140015,1403.550049,1461.810059,1461.810059,0
2015-12-01,1463.849976,1473.349976,1372.040039,1398.579956,1398.579956,0
2016-01-01,1392.869995,1392.869995,1215.140015,1317.739990,1317.739990,0
2016-02-01,1310.910034,1347.790039,1229.099976,1334.199951,1334.199951,0
2016-03-01,1341.030029,1451.310059,1339.319946,1445.189941,1445.189941,0
2016-04-01,1437.680054,1490.079956,1411.119995,1461.650024,1461.650024,0
2016-05-01,1462.780029,1498.410034,1419.739990,1493.050049,1493.050049,0
2016-06-01,1486.630005,1526.579956,1409.530029,1496.500000,1496.500000,0
2016-07-01,1496.069946,1562.800049,1473.270020,1559.459961,1559.459961,0
2016-08-01,1559.239990,1575.670044,1533.209961,1564.760010,1564.760010,0
2016-09-01,1565.219971,1581.530029,1509.810059,1552.260010,1552.260010,0
