,VANG midcap
10,0.02728965382188675
11,0.02911224608199614
12,0.06877635537467675
13,0.017085305859087185
14,0.04371944185890153
15,0.026883360137846868
16,0.027244849135781957
17,-0.01481689474603931
18,-0.017446081942546154
19,-0.03842033396539846
20,-0.07433944097901657
21,-0.09165931676885641
22,0.12722427615849385
23,-0.00621430359181574
24,-0.012675241434724982
25,0.07524639722689952
26,0.04461562814140407
27,0.022123300900237064
28,-0.006162612625645658
29,-0.06019379956053894
30,0.01416147566532211
31,-0.00047594558961361333
32,0.03524364055197027
33,0.018402247992460374
34,-0.007980862295833169
35,0.022313231553544588
36,0.010690657080618227
37,0.08472540089074387
38,0.00876043794345649
39,0.047625266197494964
40,0.0041448923286364625
41,0.030955166598926498
42,-0.025647141115738847
43,0.06355931286316818
44,-0.03790902156347209
45,0.052202162048516465
46,0.03661334683114381
47,0.016106587609457934
48,0.02004063108917653
49,-0.01390715287147537
50,0.04943195228998798
51,0.0032483948089685466
52,-0.015542331766956852
53,0.017432207370557284
54,0.041595073038994235
55,-0.043451441699378535
56,0.05115720145109082
57,-0.044757556649369534
58,0.03500655934618924
59,0.01831604369494433
60,-0.0042923354297608185
61,0.0010684985547422254
62,0.05107971786824206
63,0.012544403138189608
64,-0.014242477518248142
65,0.017219132637930068
66,-0.012744324911869165
67,0.0009853009156766124
68,-0.054144295075958526
69,-0.04288093737887688
70,0.06497752283868397
71,0.01381439692148767
72,-0.04586125565002652
73,-0.05280392774237841
74,0.013339285793038114
75,0.08344466657194838
76,0.014993310615004196
77,0.022376031974428834
78,-0.002089179395881491
79,0.049200924699806414
80,0.004571516950744536
81,-0.008722200468305186
82,-0.024085451525931667
83,0.0808309956518094
84,0.013937165209253699
85,0.02346467541155528
86,0.026023041677201375
87,-0.0054163816256666
88,0.008820183591442099
89,-0.004460835895355508
90,0.012322197371656296
91,0.013170554091736841
92,-0.016187503999819275
93,0.03539306664246866
94,0.026236987179635296
95,0.03836490484816801
96,-0.0031178547098532627
97,0.03244624225056425
98,-0.04451026094817645
99,0.008998175539993492
100,-0.0024591029030334166
101,0.04153452641896682
102,0.001065566970475551
103,0.020405868242092673
104,0.03229684402626054
105,-0.015498210899130727
106,-0.09202294342920758
107,0.030828100719825224
108,-0.1173361813674273
109,0.10964685225515525
110,0.0430455510383605
111,-0.008067598086777594
112,0.042244916299195134
113,-0.08067053004360936
114,0.07351990864268365
115,0.014461072470723924
116,-0.04072092365712576
117,0.025941297535397645
118,0.015376718798453926
119,0.030089488442889945
120,0.02229409125246362
